"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"55",-3.3469387755102,"LS.CEU","YRI",0.499837421832005,0.99935,0,2000,1998.7,1.3,0,"LS(C2Y)",100
"56",-3.18367346938776,"LS.CEU","YRI",0.49969974976069,0.99875,5e-05,1999.9,1997.5,2.5,0.1,"LS(C2Y)",100
"57",-3.02040816326531,"LS.CEU","YRI",0.499424186205587,0.99765,5e-05,1999.9,1995.3,4.7,0.1,"LS(C2Y)",100
"58",-2.85714285714286,"LS.CEU","YRI",0.498847155183643,0.99535,5e-05,1999.9,1990.7,9.3,0.1,"LS(C2Y)",100
"59",-2.69387755102041,"LS.CEU","YRI",0.498105010456828,0.99235,1e-04,1999.8,1984.7,15.3,0.2,"LS(C2Y)",100
"60",-2.53061224489796,"LS.CEU","YRI",0.497044181990345,0.988,0.00025,1999.5,1976,24,0.5,"LS(C2Y)",100
"61",-2.36734693877551,"LS.CEU","YRI",0.495302557349904,0.98075,0.00065,1998.7,1961.5,38.5,1.3,"LS(C2Y)",100
"62",-2.20408163265306,"LS.CEU","YRI",0.492862646233085,0.97045,0.00145,1997.1,1940.9,59.1,2.9,"LS(C2Y)",100
"63",-2.04081632653061,"LS.CEU","YRI",0.489859942503,0.95795,0.0024,1995.2,1915.9,84.1,4.8,"LS(C2Y)",100
"64",-1.87755102040816,"LS.CEU","YRI",0.485222238850923,0.9392,0.0036,1992.8,1878.4,121.6,7.2,"LS(C2Y)",100
"65",-1.71428571428571,"LS.CEU","YRI",0.479700304478284,0.91585,0.00665,1986.7,1831.7,168.3,13.3,"LS(C2Y)",100
"66",-1.55102040816327,"LS.CEU","YRI",0.472642912078073,0.8855,0.012,1976,1771,229,24,"LS(C2Y)",100
"67",-1.38775510204082,"LS.CEU","YRI",0.463678685027363,0.84775,0.01945,1961.1,1695.5,304.5,38.9,"LS(C2Y)",100
"68",-1.22448979591837,"LS.CEU","YRI",0.452737489270691,0.80255,0.0299,1940.2,1605.1,394.9,59.8,"LS(C2Y)",100
"69",-1.06122448979592,"LS.CEU","YRI",0.439763243830708,0.7501,0.0444,1911.2,1500.2,499.8,88.8,"LS(C2Y)",100
